order_week,product_category_name_english,avg_price,planned_price,price_for_revenue,units_base,units_cal,revenue_base_price,revenue_cal_price
2018-10-15,dvds_blu_ray,47.25875,47.25875,47.25875,0.8021516,0.8021516,37.908681926499995,37.908681926499995
2018-10-22,dvds_blu_ray,47.25875,47.25875,47.25875,1.3335367,1.3335367,63.021277521125,63.021277521125
2018-10-29,dvds_blu_ray,47.25875,47.25875,47.25875,1.3337177,1.3337177,63.029831354875,63.029831354875
2018-09-10,electronics,95.01823675775978,95.01823675775978,95.01823675775978,31.20266,31.20266,2964.8217353518808,2964.8217353518808
2018-09-17,electronics,95.01823675775978,95.01823675775978,95.01823675775978,29.4729,29.4729,2800.462990137778,2800.462990137778
2018-09-24,electronics,95.01823675775978,95.01823675775978,95.01823675775978,24.314035,24.314035,2310.276734166458,2310.276734166458
2018-10-01,electronics,95.01823675775978,95.01823675775978,95.01823675775978,30.621077,30.621077,2909.5607441635925,2909.5607441635925
2018-10-08,electronics,95.01823675775978,95.01823675775978,95.01823675775978,26.685104,26.685104,2535.5715297774423,2535.5715297774423
2018-10-15,electronics,95.01823675775978,95.01823675775978,95.01823675775978,21.689743,21.689743,2060.921135588963,2060.921135588963
2018-10-22,electronics,95.01823675775978,95.01823675775978,95.01823675775978,25.413805,25.413805,2414.7749404055394,2414.7749404055394
2018-10-29,electronics,95.01823675775978,95.01823675775978,95.01823675775978,28.889235,28.889235,2745.0041709805605,2745.0041709805605
2018-09-10,fashio_female_clothing,36.865,36.865,36.865,2.369501,2.369501,87.351654365,87.351654365
2018-09-17,fashio_female_clothing,36.865,36.865,36.865,1.5735525,1.5735525,58.0090129125,58.0090129125
2018-09-24,fashio_female_clothing,36.865,36.865,36.865,1.4584922,1.4584922,53.767314953,53.767314953
2018-10-01,fashio_female_clothing,36.865,36.865,36.865,1.5911375,1.5911375,58.657283937500004,58.657283937500004
2018-10-08,fashio_female_clothing,36.865,36.865,36.865,1.1600968,1.1600968,42.76696853200001,42.76696853200001
2018-10-15,fashio_female_clothing,36.865,36.865,36.865,1.1050951,1.1050951,40.7393308615,40.7393308615
2018-10-22,fashio_female_clothing,36.865,36.865,36.865,0.9693173,0.9693173,35.733882264500004,35.733882264500004
2018-10-29,fashio_female_clothing,36.865,36.865,36.865,0.85549206,0.85549206,31.5377147919,31.5377147919
2018-09-10,fashion_bags_accessories,64.89250315656565,63.02113952020202,63.02113952020202,25.193094,25.193094,1587.6974919195643,1587.6974919195643
2018-09-17,fashion_bags_accessories,64.89250315656565,63.02113952020202,63.02113952020202,29.051157,29.051157,1830.8370185202934,1830.8370185202934
2018-09-24,fashion_bags_accessories,64.89250315656565,63.02113952020202,63.02113952020202,25.846842,25.846842,1628.8974358386174,1628.8974358386174
2018-10-01,fashion_bags_accessories,64.89250315656565,63.02113952020202,63.02113952020202,25.858847,25.858847,1629.6540046185576,1629.6540046185576
2018-10-08,fashion_bags_accessories,64.89250315656565,63.02113952020202,63.02113952020202,27.117048,27.117048,1708.9472653840153,1708.9472653840153
2018-10-15,fashion_bags_accessories,64.89250315656565,63.02113952020202,63.02113952020202,24.025314,24.025314,1514.102665610663,1514.102665610663
2018-10-22,fashion_bags_accessories,64.89250315656565,63.02113952020202,63.02113952020202,26.612078,26.612078,1677.1234805604988,1677.1234805604988
2018-10-29,fashion_bags_accessories,64.89250315656565,63.02113952020202,63.02113952020202,24.352102,24.352102,1534.6972177521905,1534.6972177521905
2018-09-10,fashion_childrens_clothes,52.49,52.49,52.49,0.59468186,0.59468186,31.214850831400003,31.214850831400003
2018-09-17,fashion_childrens_clothes,52.49,52.49,52.49,0.73634964,0.73634964,38.6509926036,38.6509926036
2018-09-24,fashion_childrens_clothes,52.49,52.49,52.49,0.69454795,0.69454795,36.4568218955,36.4568218955
2018-10-01,fashion_childrens_clothes,52.49,52.49,52.49,0.71117574,0.71117574,37.329614592599995,37.329614592599995
