product_category_name_english,units_s,revenue_s,price_s,units0,revenue0,price0,scenario,delta_units,delta_revenue,pct_dQ,pct_dP,elasticity
furniture_decor,480.3401,40373.39004,84.05167859,450.91675,42111.45366,93.39075399,-0.1,29.42334,-1738.063621,0.06525227,-0.1,-0.652522668
furniture_living_room,73.82258,8220.241879,111.351323,76.54932,9470.963588,123.7236922,-0.1,-2.726738,-1250.721709,-0.03562067,-0.1,0.356206708
furniture_mattress_and_upholstery,8.556757,885.431795,103.4775,5.9635043,685.6539017,114.975,-0.1,2.5932527,199.7778933,0.43485382,-0.1,-4.34853822
garden_tools,218.7168,22126.72914,101.1661191,211.44011,23767.30651,112.406799,-0.1,7.2766876,-1640.577369,0.034414887,-0.1,-0.344148874
health_beauty,605.1339,78381.47318,129.5274843,612.6271,88168.93654,143.919427,-0.1,-7.493164,-9787.463356,-0.0122312,-0.1,0.122312
home_appliances,118.01909,9296.926197,78.77476492,114.69403,10038.88385,87.52751658,-0.1,3.325058,-741.9576485,0.02899068,-0.1,-0.289906804
home_appliances_2,43.437145,20745.79535,477.60495,42.25154,22421.71713,530.6721667,-0.1,1.1856041,-1675.921784,0.028060611,-0.1,-0.280606113
home_comfort_2,20.474188,237.7053279,11.61,9.235731,119.1409377,12.9,-0.1,11.238457,118.5643902,1.2168454,-0.1,-12.16845393
home_confort,58.328636,6468.722778,110.9013188,60.304256,7430.913027,123.2236875,-0.1,-1.9756203,-962.1902488,-0.032760877,-0.1,0.327608772
home_construction,67.037125,10806.26242,161.1981825,62.312904,11160.80787,179.1090916,-0.1,4.7242203,-354.545449,0.07581448,-0.1,-0.758144781
housewares,590.68195,53164.35608,90.00504316,564.1838,56421.53719,100.0056035,-0.1,26.498169,-3257.181102,0.046967264,-0.1,-0.469672643
industry_commerce_and_business,25.44704,6011.405172,236.232,26.727724,7015.493203,262.48,-0.1,-1.2806835,-1004.088031,-0.04791592,-0.1,0.479159206
kitchen_dining_laundry_garden_furniture,31.4425,3853.948759,122.5713214,28.894114,3935.099577,136.1903571,-0.1,2.5483856,-81.15081866,0.088197395,-0.1,-0.881973952
la_cuisine,9.670347,1692.794196,175.05,10.868097,2113.844972,194.5,-0.1,-1.1977501,-421.050776,-0.11020789,-0.1,1.10207893
luggage_accessories,92.37687,8662.004507,93.76810789,92.80792,9669.359595,104.1867865,-0.1,-0.43105316,-1007.355088,-0.004644573,-0.1,0.046445727
market_place,33.311882,3641.517609,109.315875,36.48723,4431.814776,121.4620833,-0.1,-3.1753464,-790.2971667,-0.087026246,-0.1,0.870262459
music,12.309259,835.4540226,67.872,12.876593,971.0667727,75.41333333,-0.1,-0.5673332,-135.61275,-0.044059265,-0.1,0.440592654
musical_instruments,77.9951,17177.15176,220.2337187,82.09787,20089.68822,244.7041319,-0.1,-4.102768,-2912.536453,-0.04997411,-0.1,0.4997411
office_furniture,97.41158,19601.0476,201.2188534,93.46699,20897.02188,223.5765038,-0.1,3.9445953,-1295.974278,0.042203087,-0.1,-0.422030874
